tconst	imdb_id	primaryTitle	startYear	averageRating	numVotes
tt2527336	2527336	Star Wars: Episode VIII - The Last Jedi	2017	6.9	670728
tt0988045	988045	Sherlock Holmes	2009	7.6	669739
tt3783958	3783958	La La Land	2016	8.0	668351
tt4633694	4633694	Spider-Man: Into the Spider-Verse	2018	8.4	668219
tt1798709	1798709	Her	2013	8.0	667921
tt0454876	454876	Life of Pi	2012	7.9	665795
tt2562232	2562232	Birdman or (The Unexpected Virtue of Ignorance)	2014	7.7	665626
tt2294629	2294629	Frozen	2013	7.4	662632
tt1856101	1856101	Blade Runner 2049	2017	8.0	662001
tt0073195	73195	Jaws	1975	8.1	657925
tt3460252	3460252	The Hateful Eight	2015	7.8	657897
tt0440963	440963	The Bourne Ultimatum	2007	8.0	657525
tt0758758	758758	Into the Wild	2007	8.1	656966
tt1637725	1637725	Ted	2012	6.9	655484
tt0099785	99785	Home Alone	1990	7.7	651741
tt0114746	114746	12 Monkeys	1995	8.0	645731
tt0120903	120903	X-Men	2000	7.3	645334
tt5463162	5463162	Deadpool 2	2018	7.6	643335
tt1446714	1446714	Prometheus	2012	7.0	642970
tt0469494	469494	There Will Be Blood	2007	8.2	639628
tt1024648	1024648	Argo	2012	7.7	638358
tt0162222	162222	Cast Away	2000	7.8	637206
tt0413300	413300	Spider-Man 3	2007	6.3	635850
tt0364569	364569	Oldboy	2003	8.3	633768
tt0936501	936501	Taken	2008	7.7	633265
tt0373889	373889	Harry Potter and the Order of the Phoenix	2007	7.5	631745
tt0829482	829482	Superbad	2007	7.6	630814
tt0234215	234215	The Matrix Reloaded	2003	7.2	629230
tt0075148	75148	Rocky	1976	8.1	626957
tt1156398	1156398	Zombieland	2009	7.5	619910
tt0796366	796366	Star Trek	2009	7.9	619692
tt0332280	332280	The Notebook	2004	7.8	618607
tt0120363	120363	Toy Story 2	1999	7.9	618423
tt0240772	240772	Ocean's Eleven	2001	7.7	617576
tt0119488	119488	L.A. Confidential	1997	8.2	616517
tt0120735	120735	Lock, Stock and Two Smoking Barrels	1998	8.1	615229
tt0119654	119654	Men in Black	1997	7.3	611504
tt1219289	1219289	Limitless	2011	7.4	611244
tt4154664	4154664	Captain Marvel	2019	6.8	609395
tt3890160	3890160	Baby Driver	2017	7.5	607437
tt0034583	34583	Casablanca	1942	8.5	604875
tt0116629	116629	Independence Day	1996	7.0	604476
tt1396484	1396484	It	2017	7.3	604289
tt2872718	2872718	Nightcrawler	2014	7.8	603017
tt1276104	1276104	Looper	2012	7.4	602134
tt11286314	11286314	Don't Look Up	2021	7.2	599486
tt0926084	926084	Harry Potter and the Deathly Hallows: Part 1	2010	7.7	597740
tt1232829	1232829	21 Jump Street	2012	7.2	597220
tt0443706	443706	Zodiac	2007	7.7	596724
tt1343092	1343092	The Great Gatsby	2013	7.2	595507
tt0417741	417741	Harry Potter and the Half-Blood Prince	2009	7.6	594138
tt0365748	365748	Shaun of the Dead	2004	7.9	592691
tt1250777	1250777	Kick-Ass	2010	7.6	592356
tt2119532	2119532	Hacksaw Ridge	2016	8.1	591881
tt1727824	1727824	Bohemian Rhapsody	2018	7.9	591137
tt6723592	6723592	Tenet	2020	7.3	590229
tt2380307	2380307	Coco	2017	8.4	587958
tt0470752	470752	Ex Machina	2015	7.7	586170
tt0450259	450259	Blood Diamond	2006	8.0	584882
tt0181689	181689	Minority Report	2002	7.6	583286
tt1323594	1323594	Despicable Me	2010	7.6	583056
